Date,Open,High,Low,Close,Adj Close,Volume
2023-02-20,41221.550781,41292.601563,40580.101563,40701.699219,40701.699219,143700
2023-02-21,40784.898438,40946.199219,40508.250000,40673.601563,40673.601563,170200
2023-02-22,40494.148438,40529.250000,39899.000000,39995.898438,39995.898438,155200
2023-02-23,39983.699219,40147.800781,39600.250000,40001.550781,40001.550781,200500
2023-02-24,40259.101563,40348.101563,39818.898438,39909.398438,39909.398438,144600
2023-02-27,39820.398438,40371.449219,39745.398438,40307.101563,40307.101563,165200
2023-02-28,40302.699219,40391.449219,40073.000000,40269.050781,40269.050781,327800
2023-03-01,40473.851563,40725.351563,40341.949219,40698.148438,40698.148438,169800
2023-03-02,40604.550781,40773.250000,40312.898438,40389.800781,40389.800781,149200
2023-03-03,40671.398438,41390.148438,40605.351563,41251.351563,41251.351563,213800
2023-03-06,41418.398438,41671.199219,41259.148438,41350.398438,41350.398438,180200
2023-03-08,41178.351563,41625.351563,41100.351563,41577.101563,41577.101563,157600
2023-03-09,41532.648438,41659.000000,41208.101563,41256.750000,41256.750000,119200
2023-03-10,40805.250000,40839.000000,40341.699219,40485.449219,40485.449219,145300
2023-03-13,40356.101563,40690.050781,39454.601563,39564.699219,39564.699219,174500
2023-03-14,39522.398438,39768.500000,39132.601563,39411.398438,39411.398438,205700
2023-03-15,39777.898438,39914.101563,38934.648438,39051.500000,39051.500000,164300
2023-03-16,39061.699219,39381.398438,38613.148438,39132.601563,39132.601563,196300
2023-03-17,39442.398438,39705.148438,38926.800781,39598.101563,39598.101563,173400
2023-03-20,39512.101563,39512.101563,38941.898438,39361.949219,39361.949219,173800
2023-03-21,39599.648438,39970.898438,39366.300781,39894.699219,39894.699219,187900
2023-03-22,40036.000000,40085.601563,39837.800781,39999.050781,39999.050781,0
2023-03-23,39836.148438,40201.601563,39552.500000,39616.898438,39616.898438,153200
2023-03-24,39555.250000,39767.898438,39294.898438,39395.351563,39395.351563,166100
2023-03-27,39484.699219,39695.199219,39273.750000,39431.300781,39431.300781,194200
2023-03-28,39545.050781,39645.199219,39326.101563,39567.898438,39567.898438,202300
2023-03-29,39611.550781,40055.000000,39609.550781,39910.148438,39910.148438,259600
2023-03-31,40231.250000,40690.398438,40180.199219,40608.648438,40608.648438,188000
2023-04-03,40695.800781,40857.601563,40535.898438,40813.050781,40813.050781,167500
2023-04-05,40972.300781,41071.148438,40802.648438,40999.148438,40999.148438,177400
2023-04-06,40940.699219,41274.699219,40820.550781,41041.000000,41041.000000,196500
2023-04-10,41116.148438,41139.851563,40727.250000,40834.648438,40834.648438,153900
2023-04-11,41232.000000,41403.250000,40990.199219,41366.500000,41366.500000,219200
2023-04-12,41426.000000,41610.148438,41332.000000,41557.949219,41557.949219,143000
2023-04-13,41680.101563,42196.199219,41502.648438,42132.550781,42132.550781,232600
2023-04-17,42603.550781,42603.550781,41799.000000,42262.550781,42262.550781,229100
2023-04-18,42406.949219,42500.699219,42114.351563,42265.199219,42265.199219,214200
2023-04-19,42280.101563,42339.898438,42022.148438,42154.000000,42154.000000,170000
2023-04-20,42218.500000,42378.148438,42108.851563,42269.500000,42269.500000,180200
2023-04-21,42252.550781,42382.148438,41962.351563,42118.000000,42118.000000,144100
2023-04-24,42469.949219,42714.148438,42269.101563,42635.750000,42635.750000,201000
2023-04-25,42731.601563,42865.550781,42601.500000,42678.500000,42678.500000,262400
2023-04-26,42559.050781,42875.601563,42432.250000,42829.898438,42829.898438,178000
2023-04-27,42753.898438,43043.398438,42736.601563,43000.851563,43000.851563,181400
2023-04-28,43045.500000,43302.050781,42810.351563,43233.898438,43233.898438,238700
2023-05-02,43395.050781,43483.851563,43269.398438,43352.101563,43352.101563,241600
2023-05-03,43154.851563,43354.949219,43078.148438,43312.699219,43312.699219,175900
2023-05-04,43236.101563,43739.800781,43213.949219,43685.449219,43685.449219,175400
2023-05-05,43110.648438,43588.000000,42582.199219,42661.199219,42661.199219,251200
2023-05-08,42796.851563,43418.550781,42780.300781,43284.000000,43284.000000,223400
2023-05-09,43438.550781,43533.250000,43125.851563,43198.148438,43198.148438,229000
2023-05-10,43275.250000,43383.648438,42822.148438,43331.050781,43331.050781,249100
2023-05-11,43535.101563,43774.250000,43367.250000,43475.300781,43475.300781,190700
2023-05-12,43447.148438,43905.949219,43347.750000,43793.550781,43793.550781,144900
2023-05-15,43821.050781,44151.699219,43666.601563,44072.101563,44072.101563,161300
2023-05-16,44144.148438,44144.148438,43815.699219,43903.699219,43903.699219,222500
2023-05-17,43948.500000,43992.750000,43446.398438,43698.699219,43698.699219,203600
2023-05-18,44006.898438,44079.199219,43673.699219,43752.300781,43752.300781,226500
2023-05-19,43930.000000,44020.898438,43531.898438,43969.398438,43969.398438,192000
2023-05-22,43935.300781,44026.750000,43684.898438,43885.101563,43885.101563,183800
2023-05-23,43978.898438,44095.250000,43852.199219,43954.449219,43954.449219,142000
2023-05-24,43751.949219,44010.449219,43639.800781,43677.851563,43677.851563,148600
2023-05-25,43630.250000,43719.851563,43390.300781,43681.398438,43681.398438,170200
2023-05-26,43765.351563,44067.601563,43588.800781,44018.000000,44018.000000,143200
2023-05-29,44276.800781,44483.351563,44193.949219,44311.898438,44311.898438,148600
2023-05-30,44277.351563,44498.601563,44207.500000,44436.351563,44436.351563,157600
2023-05-31,44318.000000,44339.050781,43822.699219,44128.148438,44128.148438,305700
2023-06-01,44172.050781,44179.949219,43706.148438,43790.199219,43790.199219,182900
2023-06-02,43997.300781,44088.898438,43812.550781,43937.851563,43937.851563,123900
2023-06-05,44103.250000,44266.148438,44074.199219,44101.648438,44101.648438,124500
2023-06-06,44156.699219,44236.199219,44009.699219,44164.550781,44164.550781,123600
2023-06-07,44318.699219,44346.300781,44143.500000,44275.300781,44275.300781,119200
2023-06-08,44208.300781,44459.250000,43917.898438,43995.250000,43995.250000,160200
2023-06-09,44045.750000,44220.101563,43932.601563,43989.000000,43989.000000,132300
2023-06-12,44035.199219,44124.949219,43874.050781,43944.199219,43944.199219,91400
2023-06-13,43889.699219,44138.148438,43889.699219,44079.851563,44079.851563,160000
2023-06-14,44181.648438,44212.351563,43956.148438,43988.000000,43988.000000,154600
2023-06-15,44054.351563,44077.449219,43397.500000,43443.601563,43443.601563,228200
2023-06-16,43583.351563,44083.250000,43536.949219,43938.148438,43938.148438,234700
2023-06-19,44015.300781,44040.351563,43501.398438,43633.750000,43633.750000,234900
2023-06-20,43597.550781,43823.949219,43345.949219,43766.500000,43766.500000,161900
2023-06-21,43894.398438,43946.699219,43698.949219,43859.199219,43859.199219,180000
2023-06-22,43874.800781,44042.148438,43663.351563,43724.851563,43724.851563,263800
2023-06-23,43641.601563,43824.101563,43519.550781,43622.898438,43622.898438,161300
2023-06-26,43714.750000,43773.101563,43541.750000,43641.050781,43641.050781,120700
2023-06-27,43804.550781,44194.648438,43693.148438,44121.500000,44121.500000,137300
2023-06-28,44419.500000,44508.398438,44163.199219,44327.800781,44327.800781,243800
2023-06-30,44666.000000,44787.101563,44447.199219,44747.351563,44747.351563,191300
2023-07-03,44957.949219,45353.199219,44882.101563,45158.101563,45158.101563,228200
2023-07-04,45310.550781,45655.500000,45000.250000,45301.449219,45301.449219,463000
2023-07-05,45169.699219,45418.898438,45073.398438,45151.800781,45151.800781,366300
2023-07-06,45060.550781,45417.500000,45042.601563,45339.898438,45339.898438,244900
2023-07-07,45118.050781,45227.250000,44844.800781,44925.000000,44925.000000,220900
2023-07-10,44958.648438,45184.300781,44721.898438,44860.851563,44860.851563,220900
2023-07-11,44998.000000,45139.550781,44663.050781,44745.050781,44745.050781,209000
2023-07-12,44872.601563,44937.250000,44562.398438,44639.449219,44639.449219,233100
2023-07-13,45009.300781,45085.148438,44612.199219,44665.050781,44665.050781,336800
2023-07-14,44860.648438,44923.851563,44547.800781,44819.300781,44819.300781,196300
2023-07-17,44951.199219,45556.449219,44695.050781,45449.750000,45449.750000,245900
